plate,letters,numbers,region_code,description,forbidden,advantage,significance,region_name
K200TK46,KTK,200,46,NAG,False,False,0,Kursk Oblast
X112TY797,XTY,112,797,NAG,False,False,0,Moscow
O020AX550,OAX,020,550,NAG,False,False,0,Moscow Oblast
H010BE97,HBE,010,97,NAG,False,False,0,Moscow
O998PY05,OPY,998,05,NAG,False,False,0,Republic of Dagestan
M515XM82,MXM,515,82,NAG,False,False,0,Republic of Crimea
K010KT190,KKT,010,190,NAG,False,False,0,Moscow Oblast
H666HK198,HHK,666,198,NAG,False,False,0,Saint Petersburg
Y553CC42,YCC,553,42,NAG,False,False,0,Kemerovo Oblast
C200YC22,CYC,200,22,NAG,False,False,0,Altai Krai
Y797YC790,YYC,797,790,NAG,False,False,0,Moscow Oblast
K959AB250,KAB,959,250,NAG,False,False,0,Moscow Oblast
E113TO797,ETO,113,797,NAG,False,False,0,Moscow
M300OO799,MOO,300,799,NAG,False,False,0,Moscow
M383OB797,MOB,383,797,NAG,False,False,0,Moscow
Y016AM716,YAM,016,716,NAG,False,False,0,Republic of Tatarstan
B076TY797,BTY,076,797,NAG,False,False,0,Moscow
A897OO977,AOO,897,977,NAG,False,False,0,Moscow
A007HT50,AHT,007,50,NAG,False,False,0,Moscow Oblast
H868TB797,HTB,868,797,NAG,False,False,0,Moscow
O066PE777,OPE,066,777,NAG,False,False,0,Moscow
H050PA797,HPA,050,797,NAG,False,False,0,Moscow
C777OH790,COH,777,790,NAG,False,False,0,Moscow Oblast
O300KM790,OKM,300,790,NAG,False,False,0,Moscow Oblast
M896MO190,MMO,896,190,NAG,False,False,0,Moscow Oblast
E333XT197,EXT,333,197,NAG,False,False,0,Moscow
Y006YT93,YYT,006,93,NAG,False,False,0,Krasnodar Krai
K099YP73,KYP,099,73,NAG,False,False,0,Ulyanovsk Oblast
T272PY797,TPY,272,797,NAG,False,False,0,Moscow
C005TM750,CTM,005,750,NAG,False,False,0,Moscow Oblast
C021AB250,CAB,021,250,NAG,False,False,0,Moscow Oblast
T111OY190,TOY,111,190,NAG,False,False,0,Moscow Oblast
B570PK86,BPK,570,86,NAG,False,False,0,Khanty-Mansi Autonomous Okrug
X845PH797,XPH,845,797,NAG,False,False,0,Moscow
B300CC24,BCC,300,24,NAG,False,False,0,Krasnoyarsk Krai
A444MH199,AMH,444,199,NAG,False,False,0,Moscow
Y999AK193,YAK,999,193,NAG,False,False,0,Krasnodar Krai
B001XE150,BXE,001,150,NAG,False,False,0,Moscow Oblast
A069MP05,AMP,069,05,NAG,False,False,0,Republic of Dagestan
X444XO178,XXO,444,178,NAG,False,False,0,Saint Petersburg
H050AT790,HAT,050,790,NAG,False,False,0,Moscow Oblast
C208CC90,CCC,208,90,NAG,False,False,0,Moscow Oblast
E997CY799,ECY,997,799,NAG,False,False,0,Moscow
M483YP197,MYP,483,197,NAG,False,False,0,Moscow
P131TX790,PTX,131,790,NAG,False,False,0,Moscow Oblast
A349OP797,AOP,349,797,NAG,False,False,0,Moscow
E570OO142,EOO,570,142,NAG,False,False,0,Kemerovo Oblast
T661TE77,TTE,661,77,NAG,False,False,0,Moscow
B995PM777,BPM,995,777,NAG,False,False,0,Moscow
A018OO197,AOO,018,197,NAG,False,False,0,Moscow
B045BK797,BBK,045,797,NAG,False,False,0,Moscow
H007PX77,HPX,007,77,NAG,False,False,0,Moscow
C666AA199,CAA,666,199,NAG,False,False,0,Moscow
C007KC77,CKC,007,77,NAG,False,False,0,Moscow
O799PM799,OPM,799,799,NAG,False,False,0,Moscow
O939MT54,OMT,939,54,NAG,False,False,0,Novosibirsk Oblast
H066PA82,HPA,066,82,NAG,False,False,0,Republic of Crimea
E093TK797,ETK,093,797,NAG,False,False,0,Moscow
Y700BM55,YBM,700,55,NAG,False,False,0,Omsk Oblast
B053AH550,BAH,053,550,NAG,False,False,0,Moscow Oblast
E700PP797,EPP,700,797,NAG,False,False,0,Moscow
P197CA197,PCA,197,197,NAG,False,False,0,Moscow
P233XX790,PXX,233,790,NAG,False,False,0,Moscow Oblast
E063EE197,EEE,063,197,NAG,False,False,0,Moscow
E070MM193,EMM,070,193,NAG,False,False,0,Krasnodar Krai
C511OP797,COP,511,797,NAG,False,False,0,Moscow
T009EM777,TEM,009,777,NAG,False,False,0,Moscow
O111BH11,OBH,111,11,NAG,False,False,0,Komi Republic
X991HC797,XHC,991,797,NAG,False,False,0,Moscow
A076KA977,AKA,076,977,NAG,False,False,0,Moscow
K474AY142,KAY,474,142,NAG,False,False,0,Kemerovo Oblast
C200YT152,CYT,200,152,NAG,False,False,0,Nizhny Novgorod Oblast
X935XX23,XXX,935,23,NAG,False,False,0,Krasnodar Krai
X013OX197,XOX,013,197,NAG,False,False,0,Moscow
E333YX178,EYX,333,178,NAG,False,False,0,Saint Petersburg
T600MT790,TMT,600,790,NAG,False,False,0,Moscow Oblast
O508OM198,OOM,508,198,NAG,False,False,0,Saint Petersburg
Y090EE716,YEE,090,716,NAG,False,False,0,Republic of Tatarstan
A255AA177,AAA,255,177,NAG,False,False,0,Moscow
E919EK163,EEK,919,163,NAG,False,False,0,Samara Oblast
A054AA150,AAA,054,150,NAG,False,False,0,Moscow Oblast
H004CH177,HCH,004,177,NAG,False,False,0,Moscow
A212OC797,AOC,212,797,NAG,False,False,0,Moscow
K025XK97,KXK,025,97,NAG,False,False,0,Moscow
M500EK716,MEK,500,716,NAG,False,False,0,Republic of Tatarstan
B395AO550,BAO,395,550,NAG,False,False,0,Moscow Oblast
B700BX142,BBX,700,142,NAG,False,False,0,Kemerovo Oblast
C953CX797,CCX,953,797,NAG,False,False,0,Moscow
K777YY41,KYY,777,41,NAG,False,False,0,Kamchatka Krai
E407BA550,EBA,407,550,NAG,False,False,0,Moscow Oblast
Y025OX77,YOX,025,77,NAG,False,False,0,Moscow
E696KT193,EKT,696,193,NAG,False,False,0,Krasnodar Krai
K888KP152,KKP,888,152,NAG,False,False,0,Nizhny Novgorod Oblast
B784TC797,BTC,784,797,NAG,False,False,0,Moscow
T111OB790,TOB,111,790,NAG,False,False,0,Moscow Oblast
C047HY790,CHY,047,790,NAG,False,False,0,Moscow Oblast
H787YT790,HYT,787,790,NAG,False,False,0,Moscow Oblast
E977AP550,EAP,977,550,NAG,False,False,0,Moscow Oblast
T059MB797,TMB,059,797,NAG,False,False,0,Moscow
K489PH797,KPH,489,797,NAG,False,False,0,Moscow
M999OM05,MOM,999,05,NAG,False,False,0,Republic of Dagestan
E309CB797,ECB,309,797,NAG,False,False,0,Moscow
E444ET777,EET,444,777,NAG,False,False,0,Moscow
M256PC797,MPC,256,797,NAG,False,False,0,Moscow
M330TP797,MTP,330,797,NAG,False,False,0,Moscow
O800KK977,OKK,800,977,NAG,False,False,0,Moscow
H222MP123,HMP,222,123,NAG,False,False,0,Krasnodar Krai
M900YE33,MYE,900,33,NAG,False,False,0,Vladimir Oblast
M303MB31,MMB,303,31,NAG,False,False,0,Belgorod Oblast
M151CM126,MCM,151,126,NAG,False,False,0,Stavropol Krai
C161YH790,CYH,161,790,NAG,False,False,0,Moscow Oblast
B060YY799,BYY,060,799,NAG,False,False,0,Moscow
X117XX197,XXX,117,197,NAG,False,False,0,Moscow
T686TC797,TTC,686,797,NAG,False,False,0,Moscow
M600AH797,MAH,600,797,NAG,False,False,0,Moscow
M020EM68,MEM,020,68,NAG,False,False,0,Tambov Oblast
T017TP797,TTP,017,797,NAG,False,False,0,Moscow
P505EC777,PEC,505,777,NAG,False,False,0,Moscow
Y009KP77,YKP,009,77,NAG,False,False,0,Moscow
B050BA550,BBA,050,550,NAG,False,False,0,Moscow Oblast
C454HT797,CHT,454,797,NAG,False,False,0,Moscow
Y737MY797,YMY,737,797,NAG,False,False,0,Moscow
P696TA40,PTA,696,40,NAG,False,False,0,Kaluga Oblast
H017MM77,HMM,017,77,NAG,False,False,0,Moscow
P200PX197,PPX,200,197,NAG,False,False,0,Moscow
M377TT27,MTT,377,27,NAG,False,False,0,Khabarovsk Krai
X001YT197,XYT,001,197,NAG,False,False,0,Moscow
C275OM797,COM,275,797,NAG,False,False,0,Moscow
M310MM190,MMM,310,190,NAG,False,False,0,Moscow Oblast
O111PO96,OPO,111,96,NAG,False,False,0,Sverdlovsk Oblast
M999YK190,MYK,999,190,NAG,False,False,0,Moscow Oblast
P007XY197,PXY,007,197,NAG,False,False,0,Moscow
O087MM198,OMM,087,198,NAG,False,False,0,Saint Petersburg
E007XA77,EXA,007,77,NAG,False,False,0,Moscow
H300YH197,HYH,300,197,NAG,False,False,0,Moscow
C999AM197,CAM,999,197,NAG,False,False,0,Moscow
A050XP199,AXP,050,199,NAG,False,False,0,Moscow
X191HO30,XHO,191,30,NAG,False,False,0,Astrakhan Oblast
C023KP797,CKP,023,797,NAG,False,False,0,Moscow
A858KA142,AKA,858,142,NAG,False,False,0,Kemerovo Oblast
X064TK790,XTK,064,790,NAG,False,False,0,Moscow Oblast
M900OB190,MOB,900,190,NAG,False,False,0,Moscow Oblast
Y011HT797,YHT,011,797,NAG,False,False,0,Moscow
K552KK64,KKK,552,64,NAG,False,False,0,Saratov Oblast
P555MB190,PMB,555,190,NAG,False,False,0,Moscow Oblast
T202YO97,TYO,202,97,NAG,False,False,0,Moscow
A484EX797,AEX,484,797,NAG,False,False,0,Moscow
B939MC199,BMC,939,199,NAG,False,False,0,Moscow
X300EE777,XEE,300,777,NAG,False,False,0,Moscow
P232EC23,PEC,232,23,NAG,False,False,0,Krasnodar Krai
A434YE123,AYE,434,123,NAG,False,False,0,Krasnodar Krai
X505TO797,XTO,505,797,NAG,False,False,0,Moscow
B222PA177,BPA,222,177,NAG,False,False,0,Moscow
K760YK790,KYK,760,790,NAG,False,False,0,Moscow Oblast
A026TX797,ATX,026,797,NAG,False,False,0,Moscow
P727PP150,PPP,727,150,NAG,False,False,0,Moscow Oblast
C939TX790,CTX,939,790,NAG,False,False,0,Moscow Oblast
C218CO797,CCO,218,797,NAG,False,False,0,Moscow
C509BO716,CBO,509,716,NAG,False,False,0,Republic of Tatarstan
O007AO190,OAO,007,190,NAG,False,False,0,Moscow Oblast
C777YM99,CYM,777,99,NAG,False,False,0,Moscow
M464PA797,MPA,464,797,NAG,False,False,0,Moscow
K083OO797,KOO,083,797,NAG,False,False,0,Moscow
M505EK05,MEK,505,05,NAG,False,False,0,Republic of Dagestan
E200EO164,EEO,200,164,NAG,False,False,0,Saratov Oblast
O968KM797,OKM,968,797,NAG,False,False,0,Moscow
X166XX78,XXX,166,78,NAG,False,False,0,Saint Petersburg
T400XH790,TXH,400,790,NAG,False,False,0,Moscow Oblast
X021AB99,XAB,021,99,NAG,False,False,0,Moscow
K050AE196,KAE,050,196,NAG,False,False,0,Sverdlovsk Oblast
M063BA977,MBA,063,977,NAG,False,False,0,Moscow
K666OX177,KOX,666,177,NAG,False,False,0,Moscow
E400OO177,EOO,400,177,NAG,False,False,0,Moscow
K511XY28,KXY,511,28,NAG,False,False,0,Amur Oblast
T111PX199,TPX,111,199,NAG,False,False,0,Moscow
E838OT797,EOT,838,797,NAG,False,False,0,Moscow
X808ET790,XET,808,790,NAG,False,False,0,Moscow Oblast
A545MO190,AMO,545,190,NAG,False,False,0,Moscow Oblast
A800BK142,ABK,800,142,NAG,False,False,0,Kemerovo Oblast
A096AA97,AAA,096,97,NAG,False,False,0,Moscow
M001BP750,MBP,001,750,NAG,False,False,0,Moscow Oblast
B109OP77,BOP,109,77,NAG,False,False,0,Moscow
P006AC26,PAC,006,26,NAG,False,False,0,Stavropol Krai
X660AC550,XAC,660,550,NAG,False,False,0,Moscow Oblast
K666YX750,KYX,666,750,NAG,False,False,0,Moscow Oblast
P101BY196,PBY,101,196,NAG,False,False,0,Sverdlovsk Oblast
H707HA777,HHA,707,777,NAG,False,False,0,Moscow
A917MM197,AMM,917,197,NAG,False,False,0,Moscow
A778OC777,AOC,778,777,NAG,False,False,0,Moscow
E718KX90,EKX,718,90,NAG,False,False,0,Moscow Oblast
C969KO797,CKO,969,797,NAG,False,False,0,Moscow
B666OP22,BOP,666,22,NAG,False,False,0,Altai Krai
P008TB790,PTB,008,790,NAG,False,False,0,Moscow Oblast
M600AT550,MAT,600,550,NAG,False,False,0,Moscow Oblast
P912OO797,POO,912,797,NAG,False,False,0,Moscow
A001TE147,ATE,001,147,NAG,False,False,0,Leningrad Oblast
B200MA28,BMA,200,28,NAG,False,False,0,Amur Oblast
E123MT797,EMT,123,797,NAG,False,False,0,Moscow
Y555OE790,YOE,555,790,NAG,False,False,0,Moscow Oblast
O939PH797,OPH,939,797,NAG,False,False,0,Moscow
B490TE797,BTE,490,797,NAG,False,False,0,Moscow
O500XO777,OXO,500,777,NAG,False,False,0,Moscow
C958AK550,CAK,958,550,NAG,False,False,0,Moscow Oblast
T707TB05,TTB,707,05,NAG,False,False,0,Republic of Dagestan
O020MP26,OMP,020,26,NAG,False,False,0,Stavropol Krai
H222XE77,HXE,222,77,NAG,False,False,0,Moscow
M300YO799,MYO,300,799,NAG,False,False,0,Moscow
O271KA977,OKA,271,977,NAG,False,False,0,Moscow
H800XM799,HXM,800,799,NAG,False,False,0,Moscow
M005MX05,MMX,005,05,NAG,False,False,0,Republic of Dagestan
B707YE197,BYE,707,197,NAG,False,False,0,Moscow
T011YO790,TYO,011,790,NAG,False,False,0,Moscow Oblast
P800KX797,PKX,800,797,NAG,False,False,0,Moscow
K888HM197,KHM,888,197,NAG,False,False,0,Moscow
A015XT797,AXT,015,797,NAG,False,False,0,Moscow
O001BA777,OBA,001,777,NAG,False,False,0,Moscow
P584AK550,PAK,584,550,NAG,False,False,0,Moscow Oblast
M911PM777,MPM,911,777,NAG,False,False,0,Moscow
K061AP550,KAP,061,550,NAG,False,False,0,Moscow Oblast
K575PE797,KPE,575,797,NAG,False,False,0,Moscow
O100OX797,OOX,100,797,NAG,False,False,0,Moscow
H600AP777,HAP,600,777,NAG,False,False,0,Moscow
T260KX77,TKX,260,77,NAG,False,False,0,Moscow
C019HC790,CHC,019,790,NAG,False,False,0,Moscow Oblast
O625KK761,OKK,625,761,NAG,False,False,0,Rostov Oblast
A323OM797,AOM,323,797,NAG,False,False,0,Moscow
O007MX11,OMX,007,11,NAG,False,False,0,Komi Republic
A221YA190,AYA,221,190,NAG,False,False,0,Moscow Oblast
P098EK98,PEK,098,98,NAG,False,False,0,Saint Petersburg
T145TT190,TTT,145,190,NAG,False,False,0,Moscow Oblast
B555EP197,BEP,555,197,NAG,False,False,0,Moscow
K595OA797,KOA,595,797,NAG,False,False,0,Moscow
E002HT72,EHT,002,72,NAG,False,False,0,Tyumen Oblast
O868PA116,OPA,868,116,NAG,False,False,0,Republic of Tatarstan
O707OK46,OOK,707,46,NAG,False,False,0,Kursk Oblast
O797CK06,OCK,797,06,NAG,False,False,0,Republic of Ingushetia
O222KX777,OKX,222,777,NAG,False,False,0,Moscow
B383AE797,BAE,383,797,NAG,False,False,0,Moscow
H090YY199,HYY,090,199,NAG,False,False,0,Moscow
T150HH30,THH,150,30,NAG,False,False,0,Astrakhan Oblast
O200EB797,OEB,200,797,NAG,False,False,0,Moscow
B555AE190,BAE,555,190,NAG,False,False,0,Moscow Oblast
P500OA77,POA,500,77,NAG,False,False,0,Moscow
A467MO90,AMO,467,90,NAG,False,False,0,Moscow Oblast
H747KH790,HKH,747,790,NAG,False,False,0,Moscow Oblast
M003MM197,MMM,003,197,NAG,False,False,0,Moscow
Y140KX77,YKX,140,77,NAG,False,False,0,Moscow
K316OT797,KOT,316,797,NAG,False,False,0,Moscow
M055BB550,MBB,055,550,NAG,False,False,0,Moscow Oblast
X100KY197,XKY,100,197,NAG,False,False,0,Moscow
K900KE977,KKE,900,977,NAG,False,False,0,Moscow
C669AA98,CAA,669,98,NAG,False,False,0,Saint Petersburg
C999TO34,CTO,999,34,NAG,False,False,0,Volgograd Oblast
E800OB193,EOB,800,193,NAG,False,False,0,Krasnodar Krai
P061KO977,PKO,061,977,NAG,False,False,0,Moscow
A005KP125,AKP,005,125,NAG,False,False,0,Primorsky Krai
E052EA977,EEA,052,977,NAG,False,False,0,Moscow
E431KX774,EKX,431,774,NAG,False,False,0,Chelyabinsk Oblast
K080TP797,KTP,080,797,NAG,False,False,0,Moscow
B080BK790,BBK,080,790,NAG,False,False,0,Moscow Oblast
A500XM41,AXM,500,41,NAG,False,False,0,Kamchatka Krai
P024BA550,PBA,024,550,NAG,False,False,0,Moscow Oblast
H222PC790,HPC,222,790,NAG,False,False,0,Moscow Oblast
K130AA977,KAA,130,977,NAG,False,False,0,Moscow
Y300CO777,YCO,300,777,NAG,False,False,0,Moscow
B887KE977,BKE,887,977,NAG,False,False,0,Moscow
O200PY750,OPY,200,750,NAG,False,False,0,Moscow Oblast
K525XY790,KXY,525,790,NAG,False,False,0,Moscow Oblast
B393AB977,BAB,393,977,NAG,False,False,0,Moscow
M760MM190,MMM,760,190,NAG,False,False,0,Moscow Oblast
T018CT799,TCT,018,799,NAG,False,False,0,Moscow
T055TC05,TTC,055,05,NAG,False,False,0,Republic of Dagestan
T600EA790,TEA,600,790,NAG,False,False,0,Moscow Oblast
T400AT163,TAT,400,163,NAG,False,False,0,Samara Oblast
O700PK199,OPK,700,199,NAG,False,False,0,Moscow
H077HE37,HHE,077,37,NAG,False,False,0,Ivanovo Oblast
A210XA77,AXA,210,77,NAG,False,False,0,Moscow
E068CX68,ECX,068,68,NAG,False,False,0,Tambov Oblast
A999HC08,AHC,999,08,NAG,False,False,0,Republic of Kalmykia
M766PM48,MPM,766,48,NAG,False,False,0,Lipetsk Oblast
C080CK797,CCK,080,797,NAG,False,False,0,Moscow
P700PY790,PPY,700,790,NAG,False,False,0,Moscow Oblast
T099TY797,TTY,099,797,NAG,False,False,0,Moscow
M707AY777,MAY,707,777,NAG,False,False,0,Moscow
M665MP90,MMP,665,90,NAG,False,False,0,Moscow Oblast
O015PO797,OPO,015,797,NAG,False,False,0,Moscow
K254OB797,KOB,254,797,NAG,False,False,0,Moscow
E789TO797,ETO,789,797,NAG,False,False,0,Moscow
X184XX95,XXX,184,95,NAG,False,False,0,Chechen Republic
A067MP05,AMP,067,05,NAG,False,False,0,Republic of Dagestan
K707AX147,KAX,707,147,NAG,False,False,0,Leningrad Oblast
K616HA95,KHA,616,95,NAG,False,False,0,Chechen Republic
X042YK42,XYK,042,42,NAG,False,False,0,Kemerovo Oblast
T050CA05,TCA,050,05,NAG,False,False,0,Republic of Dagestan
X041BB977,XBB,041,977,NAG,False,False,0,Moscow
X479AA97,XAA,479,97,NAG,False,False,0,Moscow
O626PH26,OPH,626,26,NAG,False,False,0,Stavropol Krai
B949XY790,BXY,949,790,NAG,False,False,0,Moscow Oblast
E768MP797,EMP,768,797,NAG,False,False,0,Moscow
Y003YY98,YYY,003,98,NAG,False,False,0,Saint Petersburg
T989OE797,TOE,989,797,NAG,False,False,0,Moscow
K353AE550,KAE,353,550,NAG,False,False,0,Moscow Oblast
P888PP99,PPP,888,99,NAG,False,False,0,Moscow
X222AO790,XAO,222,790,NAG,False,False,0,Moscow Oblast
